,datetime,instrument,score,exp_name,rid,real_label,error,abs_error
0,2026-03-18,SH600000,0.017969802846640036,EXP_LGBModel_Alpha158_csi300_custom_step0_s_20260318_16,7a2506f3fb6240adbcc8ca66715f8c1a,,,
1,2026-03-18,SZ000596,-0.015905462205410004,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
2,2026-03-18,SZ000568,-0.003823228180408478,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
3,2026-03-18,SZ000538,-0.019126318395137787,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
4,2026-03-18,SZ000425,0.06730428338050842,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
5,2026-03-18,SZ000408,-0.2272050529718399,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
6,2026-03-18,SZ000338,-0.01878051459789276,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
7,2026-03-18,SZ000617,-0.17010773718357086,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
8,2026-03-18,SZ000333,0.05563534051179886,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
9,2026-03-18,SZ000166,-0.018828101456165314,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
10,2026-03-18,SZ000157,0.06932295858860016,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
11,2026-03-18,SZ000100,-0.09579784423112869,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
12,2026-03-18,SZ000063,-0.14188608527183533,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
13,2026-03-18,SZ000002,-0.05085722357034683,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
14,2026-03-18,SZ000001,-0.061815373599529266,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
15,2026-03-18,SZ000301,0.10519325733184814,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
16,2026-03-18,SZ000625,-0.13335902988910675,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
17,2026-03-18,SZ000630,-0.05943732336163521,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
18,2026-03-18,SZ000651,0.019457347691059113,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
19,2026-03-18,SZ000977,-0.09914228320121765,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
20,2026-03-18,SZ000975,0.021019620820879936,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
21,2026-03-18,SZ000963,-0.02687712386250496,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
22,2026-03-18,SZ000938,-0.19363883137702942,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
23,2026-03-18,SZ000895,0.07879956066608429,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
24,2026-03-18,SZ000876,-0.0052725039422512054,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
25,2026-03-18,SZ000858,-0.09715595096349716,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
26,2026-03-18,SZ000807,-0.13149413466453552,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
27,2026-03-18,SZ000792,0.17220738530158997,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
28,2026-03-18,SZ000786,-0.057784393429756165,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260318_13,e67fc040e5f2418599eac5d7c923321d,,,
