,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SZ300394,0.355207105311316,1.0,0.013020754,0.34218635145084236,0.34218635145084236,,,2026-03-18,31.900288,34.866753
1,1,SH600188,0.2948766034953364,1.0,0.019396067,0.275480536829687,0.275480536829687,SH600188,兖矿能源,2026-03-18,35.755905,36.779533
2,2,SH600522,0.2308737317824868,1.0,-0.007733643,0.23860737483744895,0.23860737483744895,SH600522,中天科技,2026-03-18,14.309585,14.828581
3,3,SH601898,0.2278261744247233,1.0,0.0011086464,0.22671752803190104,0.22671752803190104,SH601898,中煤能源,2026-03-18,0.08042783,0.081473835
4,4,SZ002001,0.2101053922020032,1.0,-0.0014578104,0.2115632026039197,0.2115632026039197,,,2026-03-18,119.904945,122.94625
5,5,SH601877,0.1568153086531094,0.75,0.02242279,0.13439251812576564,0.13439251812576564,SH601877,正泰电器,2026-03-18,0.1655505,0.17437483
6,6,SH600482,0.149377499211757,1.0,0.0065267086,0.14285079060885172,0.14285079060885172,SH600482,中国动力,2026-03-18,6.694558,6.8406005
7,7,SH600176,0.1177384254728367,1.0,-0.0341053,0.151843726376157,0.151843726376157,SH600176,中国巨石,2026-03-18,217.10548,223.86855
8,8,SH603993,0.0924374103289149,0.75,-0.016879559,0.10931696889214733,0.10931696889214733,SH603993,洛阳钼业,2026-03-18,2.6123588,2.67343
9,9,SH600362,0.0892845615150832,0.75,-0.014744699,0.10402926051639545,0.10402926051639545,SH600362,江西铜业,2026-03-18,7.1698084,7.2990117
10,10,SH688223,0.0872517162296193,1.0,0.054886222,0.03236549434393815,0.03236549434393815,SH688223,晶科能源,2026-03-18,0.0694383,0.077741295
11,11,SH600875,0.0781874406131995,1.0,-0.04158044,0.1197678792270911,0.1197678792270911,SH600875,东方电气,2026-03-18,7.648738,8.009946
12,12,SH600029,0.0776355890322396,0.75,-0.007077813,0.08471340218073814,0.08471340218073814,SH600029,南方航空,2026-03-18,1.1182863,1.1370914
13,13,SH603799,0.0755349536940508,0.75,0.015905976,0.05962897739857961,0.05962897739857961,SH603799,华友钴业,2026-03-18,7.83967,8.198653
14,14,SH688396,0.0717717852882087,1.0,-0.012205243,0.08397702839886544,0.08397702839886544,SH688396,华润微,2026-03-18,0.027746454,0.028109862
15,15,SH600023,0.0691866083090461,1.0,-0.005494535,0.07468114327837594,0.07468114327837594,SH600023,浙能电力,2026-03-18,0.27696615,0.28153154
16,16,SH600115,0.0689843744999666,0.5,-0.01797384,0.08695821473663042,0.08695821473663042,SH600115,中国东航,2026-03-18,0.5334804,0.5493931
17,17,SH601669,0.0672687213864184,0.75,-0.0272277,0.09449642114304072,0.09449642114304072,SH601669,中国电建,2026-03-18,0.39113528,0.3964989
18,18,SZ002493,0.0662555820806493,0.75,-0.018220186,0.08447576831416981,0.08447576831416981,,,2026-03-18,0.70318234,0.7215076
19,19,SH600941,0.0658656125647734,1.0,-0.023707867,0.08957347923347457,0.08957347923347457,SH600941,中国移动,2026-03-18,0.043142024,0.04305687
20,20,SH601868,0.0640520317938734,0.75,-0.056497097,0.12054912880925427,0.12054912880925427,SH601868,中国能建,2026-03-18,0.4931759,0.49910042
21,21,SH601872,0.0633168565613495,0.25,-0.049739957,0.11305681341712343,0.11305681341712343,SH601872,招商轮船,2026-03-18,1.3203926,1.3296171
22,22,SH601009,0.0627013909744517,1.0,-0.008723497,0.07142488836519877,0.07142488836519877,SH601009,南京银行,2026-03-18,1.6099734,1.614168
23,23,SH600025,0.0593915290159212,1.0,-0.0031644702,0.06255599921169147,0.06255599921169147,SH600025,华能水电,2026-03-18,1.5996964,1.6191838
