,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SH600941,0.0692248537872844,1.0,-0.030976474,0.10020132807241013,0.10020132807241013,SH600941,中国移动,2026-03-19,0.04212038,0.041860852
1,1,SH600919,0.0664833476040317,0.9333333333333332,-0.042904258,0.10938760537838473,0.10938760537838473,SH600919,江苏银行,2026-03-19,0.3728917,0.3704058
2,2,SH600025,0.0653673917242639,1.0,-0.017460346,0.08282773794618772,0.08282773794618772,SH600025,华能水电,2026-03-19,1.5942494,1.6024817
3,3,SH601229,0.0634141379262422,0.9333333333333332,-0.024475515,0.08788965281500563,0.08788965281500563,SH601229,上海银行,2026-03-19,0.21344298,0.21292031
4,4,SH600023,0.0591429194475379,0.9333333333333332,-0.033149183,0.09229210224401617,0.09229210224401617,SH600023,浙能电力,2026-03-19,0.27544436,0.27442983
5,5,SH601328,0.0550986040680462,0.8,-0.035125017,0.0902236212341839,0.0902236212341839,SH601328,交通银行,2026-03-19,0.2791129,0.2784822
6,6,SH600036,0.0532933857532626,0.9333333333333332,-0.026892722,0.08018610740624721,0.08018610740624721,SH600036,招商银行,2026-03-19,14.700889,14.683165
7,7,SH600900,0.0503915469456862,1.0,-0.016205668,0.06659721539508806,0.06659721539508806,SH600900,长江电力,2026-03-19,10.229857,10.259605
8,8,SZ000538,0.0488093100451152,1.0,-0.031725764,0.08053507431971237,0.08053507431971237,,,2026-03-19,75.61813,74.77819
9,9,SZ000895,0.0485727786777553,0.9333333333333332,-0.037460625,0.08603340384941668,0.08603340384941668,,,2026-03-19,65.55569,64.929596
10,10,SH601009,0.0483423872854752,0.9333333333333332,-0.044000924,0.09234331091905064,0.09234331091905064,SH601009,南京银行,2026-03-19,1.5959209,1.5888176
11,11,SZ300750,0.0477806280011732,0.9333333333333332,-0.026655316,0.07443594435401743,0.07443594435401743,,,2026-03-19,1.1610782,1.1733433
12,12,SH601166,0.0474614397097874,1.0,-0.02922374,0.07668517981064799,0.07668517981064799,SH601166,兴业银行,2026-03-19,1.2971146,1.2882657
13,13,SZ000651,0.0469795083066696,0.8666666666666667,-0.033490956,0.08047046413628997,0.08047046413628997,,,2026-03-19,475.34378,469.49777
14,14,SH601658,0.0461513810173017,1.0,-0.03343022,0.07958159971389595,0.07958159971389595,SH601658,邮储银行,2026-03-19,0.29782405,0.29796776
15,15,SH601816,0.0460828474092875,0.8666666666666667,-0.03656304,0.08264588623527627,0.08264588623527627,SH601816,京沪高铁,2026-03-19,0.12876248,0.12849778
