,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
137,137,SH601857,0.0150055865895459,0.5,0.05255747,-0.03755188182476074,0.03755188182476074,SH601857,中国石油,2026-03-17,0.01981376,0.020927547
138,138,SH601872,0.0147108146992185,0.5,-0.020070016,0.034780831083343254,0.034780831083343254,SH601872,招商轮船,2026-03-17,1.3475626,1.3682438
139,139,SH688012,0.0144949530893275,0.5,-0.021285117,0.03578006976184337,0.03578006976184337,SH688012,中微公司,2026-03-17,0.049437605,0.049121484
140,140,SZ002415,0.0144661865536901,0.5,-0.028595328,0.04306151488468375,0.04306151488468375,,,2026-03-17,2.7186835,2.704332
141,141,SH600795,0.0132558197274814,0.5,-0.006023705,0.019279524733127152,0.019279524733127152,SH600795,国电电力,2026-03-17,39.14443,39.53747
142,142,SH600019,0.0127250745251041,0.5,-0.019122124,0.03184719824336582,0.03184719824336582,SH600019,宝钢股份,2026-03-17,2.124366,2.1190076
143,143,SH688169,0.0119767978848791,0.5,-0.013625026,0.02560182363408564,0.02560182363408564,SH688169,石头科技,2026-03-17,0.008141099,0.008095721
144,144,SH600160,0.0119429185341385,0.5,-0.040935278,0.052878196472981275,0.052878196472981275,SH600160,巨化股份,2026-03-17,27.987053,27.677408
145,145,SH600547,0.011850326570418,0.5,-0.07043493,0.08228525451078665,0.08228525451078665,SH600547,山东黄金,2026-03-17,191.93219,186.26927
146,146,SH601919,0.0114351475519465,0.5,-0.013666809,0.025101956157140594,0.025101956157140594,SH601919,中远海控,2026-03-17,0.34599733,0.34785852
147,147,SH600886,0.0114179048894,0.5,-0.0006889701,0.01210687497835874,0.01210687497835874,SH600886,国投电力,2026-03-17,28.709927,29.044754
148,148,SH688223,0.008999846269109,0.5,0.008097172,0.0009026744856617339,0.0009026744856617339,SH688223,晶科能源,2026-03-17,0.068899885,0.0725159
149,149,SH601018,0.0087995349629136,0.5,0.0034364462,0.00536308877303323,0.00536308877303323,SH601018,宁波港,2026-03-17,0.6388754,0.647887
150,150,SH600039,0.0085586940487729,0.5,-0.012389004,0.02094769827927217,0.02094769827927217,SH600039,四川路桥,2026-03-17,24.486671,24.790611
151,151,SH601390,0.0084372220598582,1.0,-0.020858943,0.029296165522230026,0.029296165522230026,SH601390,中国中铁,2026-03-17,0.17773874,0.17686157
152,152,SZ300014,0.0076003563409986,0.5,-0.00666523,0.014265586138361881,0.014265586138361881,,,2026-03-17,12.174187,12.561912
153,153,SH600415,0.0072456837722225,0.5,-0.022368908,0.029614591700689297,0.029614591700689297,SH600415,小商品城,2026-03-17,49.089447,48.63005
154,154,SH601066,0.0066350607911187,0.5,-0.004705906,0.01134096670542534,0.01134096670542534,SH601066,中信建投,2026-03-17,0.46247816,0.46432954
155,155,SH600438,0.0062080902417509,0.5,-0.013622761,0.019830851014455978,0.019830851014455978,SH600438,通威股份,2026-03-17,19.793627,19.804464
156,156,SZ300251,0.006087446160667,0.5,-0.024402857,0.030490302987449227,0.030490302987449227,,,2026-03-17,2.2053185,2.1770234
157,157,SZ002252,0.0056407139289313,0.5,-0.011317015,0.016957728623145166,0.016957728623145166,,,2026-03-17,8.921104,8.906539
158,158,SH601633,0.0052536146595744,0.5,-0.006215632,0.011469246621396909,0.011469246621396909,SH601633,长城汽车,2026-03-17,2.365563,2.3776937
159,159,SH600050,0.0045448476528399,0.5,-0.0043572783,0.00890212599985528,0.00890212599985528,SH600050,中国联通,2026-03-17,2.054434,2.0612717
160,160,SH601059,0.0033465365295843,0.5,-0.005675435,0.009021971595807445,0.009021971595807445,SH601059,信达证券,2026-03-17,0.12642404,0.12629697
161,161,SH601878,0.0027014802319462,0.5,-0.009683132,0.01238461240357706,0.01238461240357706,SH601878,浙商证券,2026-03-17,0.08492355,0.08476888
162,162,SH600031,0.0009467325084435,0.5,-0.045408726,0.04635545824696889,0.04635545824696889,SH600031,三一重工,2026-03-17,131.27985,129.75829
163,163,SH601901,0.0008858234644287,0.5,-0.013871372,0.014757195210491932,0.014757195210491932,SH601901,方正证券,2026-03-17,0.27134752,0.27005997
164,164,SH600905,0.0008262082449861,0.5,0.004395604,-0.003569395888619857,0.003569395888619857,SH600905,三峡能源,2026-03-17,0.32993445,0.3336011
