,datetime,instrument,score,exp_name,rid,real_label,error,abs_error
33,2026-03-17,SH601077,0.057808715880176144,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
34,2026-03-17,SH601319,0.00913385462734827,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
35,2026-03-17,SH601328,0.15174426509211023,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
36,2026-03-17,SH601336,-0.07553871200720445,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
37,2026-03-17,SH601360,-0.2042005157418042,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
38,2026-03-17,SH601800,0.0798194604541711,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
39,2026-03-17,SH601808,-0.0947244622708306,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
40,2026-03-17,SH601816,0.09505505859870607,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
41,2026-03-17,SH601818,0.1286157717428601,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
42,2026-03-17,SH601825,0.023926470401347637,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
43,2026-03-17,SH601838,0.17114484578596428,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
44,2026-03-17,SH601857,-0.017879923930749733,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
45,2026-03-17,SH601868,-0.17173319760962655,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
46,2026-03-17,SH601872,0.05144471850288928,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
47,2026-03-17,SH601877,-0.08995242284715316,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
48,2026-03-17,SH601878,0.009947076506758358,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
49,2026-03-17,SH601881,-4.758474850915206e-06,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
50,2026-03-17,SH601888,0.11801930492366779,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
51,2026-03-17,SH601898,0.11578188403837682,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
52,2026-03-17,SH601899,0.07832710179734448,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
53,2026-03-17,SH601788,0.02051119689417673,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
54,2026-03-17,SH600926,0.11218643791058863,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
55,2026-03-17,SH601766,0.12710329172753823,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
56,2026-03-17,SH601698,0.02342298269992538,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
57,2026-03-17,SH601377,-0.041810811926170734,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
58,2026-03-17,SH601390,0.002805286546601573,EXP_DEnsembleModel_Alpha158_csi300_custom_step0_s_20260317_14,d11602f48a804f6f89179d055f99c57b,,,
